,mode,time,Ab,A,NT
5295,2,70,908.4236009259852,0.6552733077403525,2.3570855509121302
5296,2,70,530.5511009472854,0.9347420739918764,2.193504841495663
5297,2,70,2.990495487162356,0.003721242694315662,6.1003875393211483e-05
5298,2,70,262.51722460917466,0.31145808515180384,0.44094055082809647
5299,2,70,1120.655196892813,0.8406636976596108,8.28796192170069
5300,2,70,1582.6388962440512,0.9643842238384168,9.77025642173657
5301,2,70,1845.9888671646052,0.9877565703782185,12.787011117980606
5302,2,70,1567.577027277361,0.8535391733035154,6.343298451715924
5303,2,70,1607.2708807041633,0.9565970734891315,8.16230266106068
5304,2,70,1525.600526591265,0.9514107676812691,11.719281912271153
5305,2,70,30.11762357488573,0.031326634087512406,0.00912756212785062
5306,2,70,1.1768146145756464,0.0015409361287716924,2.1235397008588923e-05
5307,2,70,1226.4012269264042,0.8637920393094244,4.277514198889676
5308,2,70,1075.2125285295183,0.8724891123622286,6.242464149653077
5309,2,70,1407.7727995613611,0.9823491432877071,7.894928237123496
5310,2,70,12.233076159324412,0.011965673316120863,0.001157702239255579
5311,2,70,970.7563070144096,0.8045389094614238,4.569855694880981
5312,2,70,2.602603058116107,0.0031824329226491327,6.172870642513358e-05
5313,2,70,1245.2512048017456,0.9148851594535743,3.51207949251674
5314,2,70,334.22416717770517,0.2103600971343823,0.22580367544179514
5315,2,70,1940.1583293380015,0.9879643214209816,22.499343265656627
5316,2,70,1976.9530144992643,0.9773808488054557,8.017971350374273
5317,2,70,32.295082897101615,0.04504221928757582,0.005187788503220293
5318,2,70,880.6661347516537,0.8639587858006801,8.473963586488924
5319,2,70,274.54707937303806,0.2943250784543321,0.4794802056237058
5320,2,70,342.797271942449,0.269297292409999,0.9499172000345375
5321,2,70,254.0580914026099,0.6023217687895864,1.4445836009050435
5322,2,70,909.6851611394839,0.6816205571664053,5.048885950491563
5323,2,70,1722.2769707043285,0.9709548633742855,16.025318819194045
5324,2,70,288.3279867400302,0.12933390806271666,0.21806476169476
5325,2,70,1363.6617266629532,0.943528541089144,4.456332252951165
5326,2,70,1427.2400891878688,0.9748901065934265,13.456834329866474
5327,2,70,1257.8475464783735,0.8454541777730034,3.950277435087104
5328,2,70,1392.1489442054287,0.973401796765332,9.511997458146046
5329,2,70,844.013308921439,0.6041691809580472,5.154883809843021
5330,2,70,1189.9443495322823,0.9282617095851499,4.695771801033427
5331,2,70,0.7491433702127505,0.0007640736948404775,2.657081095082626e-06
5332,2,70,1125.123118576441,0.7612390504390575,2.8648415082309153
5333,2,70,1513.3743446624164,0.9572644352049423,15.85202077958695
5334,2,70,971.4917511550537,0.7327587030939994,2.869339526577217
5335,2,70,1220.239672659713,0.9651114979945348,5.228744745301463
5336,2,70,847.0851534374502,0.3524475168385161,1.9912226897229244
5337,2,70,405.3822721415993,0.4047697177413785,0.6621210551335673
5338,2,70,688.2195913701781,0.7680001036034922,4.643079154276286
5339,2,70,1332.1824157844108,0.9196177870812896,8.242554603146136
5340,2,70,341.819300176492,0.523662985987736,1.2886646454967656
5341,2,70,686.5245228730662,0.769415438213392,3.1116372995075183
